Location,x,t,nKx
Japan,45,1960,4859407
Japan,50,1960,4236796
Japan,55,1960,3662336
Japan,60,1960,2972307
Japan,65,1960,2206294
Japan,70,1960,1608341
Japan,75,1960,985068
Japan,80,1960,473876
Japan,85,1960,161366
Japan,90,1960,37828
Japan,95,1960,5139
Japan,100,1960,358
Japan,0,1961,7816070
Japan,5,1961,8614585
Japan,10,1961,11295111
Japan,15,1961,9213488
Japan,20,1961,8687151
Japan,25,1961,8544989
Japan,30,1961,7856171
Japan,35,1961,6504456
Japan,40,1961,5151440
Japan,45,1961,4903903
Japan,50,1961,4382304
Japan,55,1961,3669149
Japan,60,1961,3078787
Japan,65,1961,2283039
Japan,70,1961,1655287
Japan,75,1961,997528
Japan,80,1961,490682
Japan,85,1961,166512
Japan,90,1961,39105
Japan,95,1961,5343
Japan,100,1961,359
Japan,0,1962,7852903
Japan,5,1962,8254799
Japan,10,1962,11104882
Japan,15,1962,9306712
Japan,20,1962,8877924
Japan,25,1962,8613898
Japan,30,1962,8006297
Japan,35,1962,6857351
Japan,40,1962,5277306
Japan,45,1962,4922297
Japan,50,1962,4503789
Japan,55,1962,3699769
Japan,60,1962,3190222
Japan,65,1962,2363962
Japan,70,1962,1695414
Japan,75,1962,1015773
Japan,80,1962,507219
Japan,85,1962,171585
Japan,90,1962,39923
Japan,95,1962,5492
Japan,100,1962,363
Japan,0,1963,7928745
Japan,5,1963,8008489
Japan,10,1963,10437561
Japan,15,1963,9799862
Japan,20,1963,9114819
Japan,25,1963,8609232
Japan,30,1963,8153549
Japan,35,1963,7164181
Japan,40,1963,5489167
Japan,45,1963,4910074
Japan,50,1963,4583734
Japan,55,1963,3782601
Japan,60,1963,3282632
Japan,65,1963,2451664
Japan,70,1963,1726508
Japan,75,1963,1052503
Japan,80,1963,525761
Japan,85,1963,178034
Japan,90,1963,41438
Japan,95,1963,5772
Japan,100,1963,387
Japan,0,1964,8026543
Japan,5,1964,7889879
Japan,10,1964,9657533
Japan,15,1964,10367619
Japan,20,1964,9375106
Japan,25,1964,8547354
Japan,30,1964,8278601
Japan,35,1964,7419409
Japan,40,1964,5777501
Japan,45,1964,4891073
Japan,50,1964,4653631
Japan,55,1964,3902200
Japan,60,1964,3349947
Japan,65,1964,2540213
Japan,70,1964,1758209
Japan,75,1964,1102126
Japan,80,1964,544941
Japan,85,1964,186898
Japan,90,1964,43901
Japan,95,1964,6236
Japan,100,1964,425
Japan,0,1965,8206656
Japan,5,1965,7809594
Japan,10,1965,9029156
Japan,15,1965,10908373
Japan,20,1965,9392713
Japan,25,1965,8553753
Japan,30,1965,8394074
Japan,35,1965,7615742
Japan,40,1965,6083142
Japan,45,1965,4943355
Japan,50,1965,4713699
Japan,55,1965,4040702
Japan,60,1965,3392051
Japan,65,1965,2625499
Japan,70,1965,1806435
Japan,75,1965,1148311
Japan,80,1965,557461
Japan,85,1965,195098
Japan,90,1965,45828
Japan,95,1965,6646
Japan,100,1965,459
Japan,0,1966,8224587
Japan,5,1966,7769471
Japan,10,1966,8619503
Japan,15,1966,11256525
Japan,20,1966,9180493
Japan,25,1966,8690370
Japan,30,1966,8511427
Japan,35,1966,7774467
Japan,40,1966,6414473
Japan,45,1966,5050573
Japan,50,1966,4763332
Japan,55,1966,4185202
Japan,60,1966,3407217
Japan,65,1966,2729131
Japan,70,1966,1875520
Japan,75,1966,1188077
Japan,80,1966,567404
Japan,85,1966,203674
Japan,90,1966,48000
Japan,95,1966,6978
Japan,100,1966,483
Japan,0,1967,8267604
Japan,5,1967,7816171
Japan,10,1967,8277428
Japan,15,1967,11077005
Japan,20,1967,9296531
Japan,25,1967,8893918
Japan,30,1967,8595202
Japan,35,1967,7930211
Japan,40,1967,6764481
Japan,45,1967,5183275
Japan,50,1967,4789537
Japan,55,1967,4308300
Japan,60,1967,3448296
Japan,65,1967,2839937
Japan,70,1967,1952559
Japan,75,1967,1227158
Japan,80,1967,586866
Japan,85,1967,214600
Japan,90,1967,50977
Japan,95,1967,7285
Japan,100,1967,512
Japan,0,1968,8494074
Japan,5,1968,7901333
Japan,10,1968,8044043
Japan,15,1968,10430236
Japan,20,1968,9791850
Japan,25,1968,9154612
Japan,30,1968,8601156
Japan,35,1968,8082252
Japan,40,1968,7070553
Japan,45,1968,5396667
Japan,50,1968,4788734
Japan,55,1968,4391920
Japan,60,1968,3537827
Japan,65,1968,2935122
Japan,70,1968,2035771
Japan,75,1968,1258554
Japan,80,1968,617213
Japan,85,1968,225358
Japan,90,1968,53732
Japan,95,1968,7716
Japan,100,1968,556
